Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.751 0.127 -0.074 |0.916 0.549 0.000 |16292
9.772 0.110 -0.010 |0.854 0.488 0.061 |16500
9.789 0.127 -0.033 |0.916 0.427 0.000 |16917
9.777 0.156 -0.057 |0.977 0.488 -0.061 |24833
9.763 0.151 -0.052 |1.038 0.610 -0.061 |16667
9.770 0.124 -0.036 |1.038 0.488 -0.061 |16791
9.779 0.096 -0.010 |1.099 0.366 0.000 |16083
9.796 0.086 -0.069 |1.038 0.305 0.061 |16125
9.782 0.089 -0.086 |0.916 0.427 0.000 |18500
9.770 0.093 -0.059 |1.038 0.488 -0.122 |17083
9.789 0.129 -0.062 |1.221 0.549 -0.183 |16000
9.775 0.134 -0.038 |1.282 0.549 -0.122 |17583
9.775 0.139 -0.036 |1.160 0.549 0.000 |16583
9.794 0.122 -0.045 |0.977 0.671 0.061 |16583
9.796 0.096 -0.045 |0.793 0.732 0.000 |16166
9.796 0.096 -0.045 |0.854 0.671 0.000 |16000
9.796 0.105 -0.033 |0.854 0.488 0.061 |16666
9.806 0.101 -0.078 |0.732 0.366 -0.122 |16416
9.801 0.089 -0.162 |0.793 0.488 -0.366 |16000
9.798 0.103 -0.124 |0.793 0.488 -0.366 |16292
9.803 0.086 -0.090 |0.916 0.549 -0.305 |18166
9.775 0.091 -0.088 |1.038 0.427 -0.122 |17250
9.765 0.113 -0.107 |0.977 0.610 -0.061 |16959
9.791 0.093 -0.086 |0.916 0.671 -0.061 |17083
9.789 0.101 -0.024 |0.916 0.671 -0.122 |17167
9.801 0.115 -0.048 |0.977 0.671 -0.183 |16542
9.820 0.110 -0.074 |0.977 0.671 -0.183 |16250
9.803 0.098 -0.088 |0.977 0.610 -0.183 |16625
9.796 0.129 -0.105 |0.977 0.549 -0.061 |22917
9.796 0.153 -0.076 |0.916 0.671 -0.061 |18583
9.789 0.158 -0.040 |0.916 0.671 -0.061 |17083
9.767 0.146 -0.083 |0.977 0.610 -0.061 |17000
9.779 0.120 -0.116 |0.977 0.671 -0.122 |17250
9.794 0.105 -0.090 |0.916 0.610 -0.183 |56958
9.746 0.115 -0.017 |0.916 0.549 -0.183 |56583
9.751 0.098 -0.069 |0.916 0.671 -0.183 |16792
9.753 0.089 -0.088 |0.854 0.732 -0.122 |16625
9.760 0.089 -0.005 |0.854 0.671 0.000 |16416
9.763 0.120 -0.012 |0.916 0.610 0.061 |16958
9.770 0.122 -0.057 |0.977 0.549 0.061 |16583
9.794 0.115 -0.059 |0.916 0.671 0.000 |16250
9.818 0.105 -0.093 |0.916 0.732 -0.122 |16416
